ลำดับ,รหัสสินค้า,ชื่อรุ่นสินค้า,ชิปเซ็ต,หน่วยความจำ (VRAM),ราคา,ลิงก์สินค้า,TDP (W)
1,JIB-VGA-10001,VGA (MSI) MSI GEFORCE RTX 5080 16G GAMING TRIO OC - 16GB GDDR7,NVIDIA,16 GB GDDR7,"60,900",https://www.jib.co.th/web/product/readProduct/73951/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--MSI-GEFORCE-RTX-5080-16G-GAMING-TRIO-OC---16GB-GDDR7?srsltid=AU7gw4Xix2knP76D_X5pFRhHeTcBwWolbml8fQyrGHLHHKA-HMmtXf9d,360
2,JIB-VGA-10002,VGA (GALAX) GALAX GEFORCE RTX 5070 1-CLICK OC - 12GB GDDR7,NVIDIA,12 GB GDDR7,"31,490",https://www.jib.co.th/web/product/readProduct/74866/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5070-1-CLICK-OC---12GB-GDDR7?srsltid=AU7gw4WGa16-TqwPcApQ2oltBwnQTbZ4OKnEO2bUyMEUHoZfiWfAnMCJ,250
3,JIB-VGA-10003,VGA (ASROCK) ASROCK AMD RADEON RX 9070 XT STEEL LEGEND 16GB - 16GB GDDR6 ,AMD,16 GB GDDR6,"26,490",https://www.jib.co.th/web/product/readProduct/74908/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-9070-XT-STEEL-LEGEND-16GB---16GB-GDDR6--RX9070XT-SL-16G-?srsltid=AU7gw4U-Wcm7QFvyVbRlCij7peE4Tdf2HemDKK6cYY-72s_h5B3eA6Bg,304
4,JIB-VGA-10004,VGA (ASUS) ASUS PRIME GEFORCE RTX 5070 TI 16GB GDDR7 OC EDITION,NVIDIA,16 GB GDDR7,"44,900",https://www.jib.co.th/web/product/readProduct/74541/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-GEFORCE-RTX-5070-TI-16GB-GDDR7-OC-EDITION--PRIME-RTX5070TI-O16G-?srsltid=AU7gw4UcDasMe3T7UyR5y0SbtFgX_N4-wv0nQU2bTqj2jWX29H4sK3LC,300
5,JIB-VGA-10005,VGA (ASUS) ASUS DUAL GEFORCE RTX 3050 OC EDITION 6GB GDDR6,NVIDIA ,6 GB GDDR6,"7,790",https://www.jib.co.th/web/product/readProduct/68047/2115/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-DUAL-GEFORCE-RTX-3050-OC-EDITION-6GB-GDDR6--DUAL-RTX3050-O6G-?srsltid=AU7gw4WrOAXQN4sZSxPdxwCCMEMD00ArqXydMM5ylFTtjhgzbwcLXTlR,70
6,JIB-VGA-10006,VGA (ZOTAC) ZOTAC GAMING GEFORCE RTX 5060 TI 16GB TWIN EDGE - 16GB GDDR7,NVIDIA,16 GB GDDR7,19300,https://www.jib.co.th/web/product/readProduct/76631/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ZOTAC-GAMING-GEFORCE-RTX-5060-TI-16GB-TWIN-EDGE---16GB-GDDR7--ZT-B50620E-10M-?srsltid=AU7gw4UHwpizEXI2E5B62K5MFSoRJW3SbbS4_Eqg4sVTfgoK2VfiiRDV,180
7,JIB-VGA-10007,VGA (ASUS) ASUS TUF GAMING RADEON RX 7800 XT OC EDITION 16GB GDDR6 ,AMD,16 GB GDDR6,"21,600",https://www.jib.co.th/web/product/readProduct/62606/ASUS-TUF-GAMING-RADEON-RX-7800-XT-OC-EDITION-16GB-GDDR6--TUF-RX7800XT-O16G-GAMING-?srsltid=AU7gw4X1n-R9bSaLjqrLr45KzVjRbjlxxHl7N-mfoc_NqUASbcDcyi4h,263
8,JIB-VGA-10008,VGA (GALAX) GALAX GEFORCE RTX 5060 1-CLICK OC - 8GB GDDR7,NVIDIA,8 GB GDDR7,"14,400",https://www.jib.co.th/web/product/readProduct/77418/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5060-1-CLICK-OC---8GB-GDDR7?srsltid=AU7gw4X7b_jjRwYeGJXdpyUu_a4n5P03OX0EswUkBbPXo-TBPU3kbVDz,145
9,JIB-VGA-10009,VGA (GIGABYTE) GIGABYTE GEFORCE RTX 5070 TI WINDFORCE OC SFF 16G - 16GB GDDR7,NVIDIA,16 GB GDDR7,"42,400",https://www.jib.co.th/web/product/readProduct/74547/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5070-TI-WINDFORCE-OC-SFF-16G---16GB-GDDR7?srsltid=AU7gw4UpkLaY8qEDVufZ60JqwKQIXFQ_X_ktevllwGFrHC8qxRCghhNj,300
10,JIB-VGA-10010,VGA (MSI) MSI GEFORCE RTX 4070 SUPER 12G GAMING X SLIM - 12GB GDDR6X,NVIDIA,12 GB GDDR6X,"24,800",https://www.jib.co.th/web/product/readProduct/64877/MSI-GEFORCE-RTX-4070-SUPER-12G-GAMING-X-SLIM---12GB-GDDR6X?srsltid=AU7gw4WRPYcsiP2TGdsXtijg3WbbpmoGaiaK0LIQMoYhdl4glJzze0yA,220
